id,averageRating,category,name,phenotype,reviewCount,slug,strainTopTerp,subtitle,thc,topEffect,distanceMi,cannabinoids_cbc_order,cannabinoids_cbc_percentile50,cannabinoids_cbd_order,cannabinoids_cbd_percentile25,cannabinoids_cbd_percentile50,cannabinoids_cbd_percentile75,cannabinoids_cbg_order,cannabinoids_cbg_percentile50,cannabinoids_thc_order,cannabinoids_thc_percentile25,cannabinoids_thc_percentile50,cannabinoids_thc_percentile75,cannabinoids_thcv_order,cannabinoids_thcv_percentile50,effects_aroused_score,effects_creative_score,effects_energetic_score,effects_euphoric_score,effects_focused_score,effects_giggly_score,effects_happy_score,effects_hungry_score,effects_relaxed_score,effects_sleepy_score,effects_talkative_score,effects_tingly_score,effects_uplifted_score,terps_caryophyllene_score,terps_humulene_score,terps_limonene_score,terps_linalool_score,terps_myrcene_score,terps_ocimene_score,terps_pinene_score,terps_terpinolene_score
233839,4.564855604503181,Hybrid,Wedding Cake,Hybrid,2043,wedding-cake,limonene,"aka Triangle Mints #23, Pink Cookies",24.0,Relaxed,2.839492130982535,4,0.0,3,0.0,0.0,0.0,2,1.0,1,21.0,24.0,27.0,5,0.0,0.529349324931888,-0.344243749383385,-0.493496422983533,0.157280367223951,-0.330834644632316,0.453087362454355,0.350268658517317,0.548684320774422,0.666162871404638,0.231424552549344,0.0057565244849506,0.0551031130755597,-0.0769406715706698,0.346592415560495,0.117106244059673,0.378115131844642,0.208215378490184,0.355683190278328,0.0088197674172602,0.13047165685216,0.027740066971212
65591,4.639413419043793,Hybrid,GG4,Hybrid,4978,original-glue,caryophyllene,"aka Gorilla Glue, Original Glue, Gorilla Glue #4, Glue",20.0,Relaxed,2.31325498592357,3,0.0,2,0.0,0.0,0.0,4,0.0,1,18.0,20.0,21.0,5,0.0,0.202674623837509,-0.234089623097565,-0.285355736174729,0.413899544639268,-0.278142686725627,0.319289188541285,0.168811632000789,0.489273830155102,0.588679352040857,0.530153775478709,-0.0607540974711485,0.103032574014589,-0.0785230502254694,0.841666666666667,0.245,0.4,0.115,0.41,0.015,0.118333333333333,0.025
504256,4.556462585034014,Hybrid,Runtz,Hybrid,735,runtz,caryophyllene,aka Runtz OG,20.0,Talkative,32.30137225626469,3,0.0,2,0.0,0.0,0.0,4,0.0,1,19.0,20.0,22.0,5,0.0,0.0982304694413564,0.324261867962821,0.197247988887961,0.388468032913894,-0.0956493167989713,0.633788651985238,1.00694839121552,0.220172128035775,0.092847025221285,-0.37430548293464,1.27312902954199,-0.024570979679111,0.534468513675881,0.353,0.104225,0.264416666666667,0.137166666666667,0.062,0.0175,0.0915416666666666,0.0245833333333333
503179,4.619760479041916,Indica,Ice Cream Cake,Indica,1002,ice-cream-cake,caryophyllene,,23.0,Sleepy,2.398254296027199,4,0.0,3,0.0,0.0,0.0,2,1.0,1,20.0,23.0,24.0,5,0.0,-0.0699220052957762,-0.725549824174643,-0.951376178388212,-0.119708874484394,-0.627333079435603,0.0134390907366586,0.27875659915949,0.544380381936966,1.26563095528465,1.45452080696782,-0.463205371504384,0.353097228474116,-0.420859615214622,0.431859337843109,0.160939956242992,0.418668317780703,0.238275196236166,0.199177925137731,0.0122089583638048,0.126561233118814,0.0235446512846765
174127,4.601003191974464,Hybrid,Gelato,Hybrid,2193,gelato,caryophyllene,"aka Gelato 42, Larry Bird",16.0,Euphoric,2.274059975920627,3,0.0,2,0.0,0.0,0.0,4,0.0,1,14.0,16.0,20.0,5,0.0,0.480102581878875,0.22094513504108,-0.192454715901725,0.575025425254774,-0.0751219976794113,0.19673120166693,0.438981582824957,0.273580982117481,0.399259940856011,-0.0404123958771264,0.147605531631381,0.121054879507602,0.23531170306712,0.577347586767184,0.190464895487644,0.362512616555716,0.143407412276313,0.128458792410299,0.0270782311776564,0.127167289443766,0.0161226265060241
75,4.330172110994029,Hybrid,Blue Dream,Hybrid,14235,blue-dream,myrcene,,18.0,Creative,2.274059975920627,3,0.0,2,0.0,0.0,0.0,4,0.0,1,17.0,18.0,20.0,5,0.0,0.0835231949357269,0.577868674684541,0.399301787946874,0.356247686008836,0.0238532842921388,0.219240701697402,0.289074637469854,0.0534585486154621,-0.490160197478045,-0.383057710982258,0.268412805788936,-0.237931654927615,0.406837668663993,0.219996419215059,0.0815230629430697,0.103459407603694,0.0546971434068616,0.706293852979353,0.0125308935249138,0.580706232861748,0.0146094526080667
13,4.325923226433431,Sativa,Sour Diesel,Sativa,8232,sour-diesel,caryophyllene,"aka Sour D, Sour Deez",19.0,Energetic,2.274059975920627,3,0.0,2,0.0,0.0,0.0,4,0.0,1,17.0,19.0,22.0,5,0.0,0.26239580773806,0.669698736386559,1.33602129807848,0.213405452757762,0.235443521011703,0.364661030279161,0.363264503205344,0.170463627606836,-1.24484410479431,-0.668561392984674,0.772684729197225,-0.147449075371512,0.616910989712927,0.428351950898436,0.159401311182301,0.334197923837489,0.0935684041506618,0.400070872035014,0.0095881607261286,0.136675142357596,0.0119625827523326
236975,4.648341232227488,Hybrid,Dosidos,Hybrid,1055,do-si-dos,limonene,"aka Dosi, Do-Si-Dos",20.0,Sleepy,2.398254296027199,4,0.0,3,0.0,0.0,0.0,2,1.0,1,18.0,20.0,22.0,5,0.0,0.0175615100041259,-0.657848461545526,-0.916795825169722,0.147116239721586,-0.586592788222203,-0.0367750882764987,-0.180220927001001,0.368168506740077,1.04157050143495,1.26789618010451,-0.573999851978375,-0.0239782664837599,-0.618274894449398,0.409556830810421,0.142636468128926,0.418643412624858,0.243199492946144,0.204649586860262,0.0021965811965812,0.130716794768819,0.020701264957265
504640,4.4937106918239,Hybrid,Apple Fritter,Hybrid,318,apple-fritter,caryophyllene,,25.0,Relaxed,2.44737687592422,3,0.0,2,0.0,0.0,0.0,4,0.0,1,23.0,25.0,25.0,5,0.0,-0.233543644100817,-0.416066406350191,-0.645398603882451,0.123053739897584,-0.325323084451995,0.417858744199947,-0.0595238191535712,-0.131719704865514,0.962654183077257,0.191438013618984,-0.128753045055474,0.770601430047772,-0.433383881044568,0.983071428571429,0.246928571428571,0.679571428571428,0.198642857142857,0.162142857142857,0.0755,0.32,0.0322142857142857
10771,4.427431353983498,Hybrid,GSC,Hybrid,7393,gsc,caryophyllene,aka Girl Scout Cookies,19.0,Hungry,2.398254296027199,4,0.0,3,0.0,0.0,0.0,2,1.0,1,17.0,19.0,21.0,5,0.0,0.159552371092588,0.31974078364783,0.0835699486499871,0.414330076449056,-0.221585833080468,0.525350950243353,0.515080443658351,0.603949109677286,-0.0784146799887679,-0.21266036183025,0.285911083623713,-0.0575345478274614,0.275971784915967,0.635827420233206,0.234088929282633,0.289832154314564,0.111863591905744,0.346141168169994,0.0105024347741064,0.105516822694264,0.0159084051486733
